[TraceId: ] 2024-07-22 19:47:32.509 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_411 on subinuerdeMacBook-Air.local with PID 25591 (/Users/subinuer/大学文件/大四/大四下/面试/项目/weblog/weblog-springboot/weblog-web/target/classes started by subinuer in /Users/subinuer/大学文件/大四/大四下/面试/项目/weblog/weblog-springboot)
[TraceId: ] 2024-07-22 19:47:32.510 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-07-22 19:47:32.907 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-07-22 19:47:32.911 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-07-22 19:47:32.911 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-07-22 19:47:32.950 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-07-22 19:47:32.950 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 418 ms
[TraceId: ] 2024-07-22 19:47:33.093 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-07-22 19:47:33.097 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 0.839 seconds (JVM running for 1.203)
[TraceId: ] 2024-07-22 19:47:49.351 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_411 on subinuerdeMacBook-Air.local with PID 25610 (/Users/subinuer/大学文件/大四/大四下/面试/项目/weblog/weblog-springboot/weblog-web/target/classes started by subinuer in /Users/subinuer/大学文件/大四/大四下/面试/项目/weblog/weblog-springboot)
[TraceId: ] 2024-07-22 19:47:49.352 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-07-22 19:47:49.683 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-07-22 19:47:49.686 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-07-22 19:47:49.686 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-07-22 19:47:49.714 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-07-22 19:47:49.714 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 345 ms
[TraceId: ] 2024-07-22 19:47:49.833 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-07-22 19:47:49.838 [main] INFO  com.subinuer.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 0.695 seconds (JVM running for 0.923)
